mod_id,mod_mrc_id,model,trim,body,mod_trm_id
155,5,Focus,Titanium,Hatchback,1
156,1,Camaro,LT,Convertible,1
157,5,Fiesta,SES,Hatchback,1
158,5,Taurus,SEL,Sedan,1
159,20,XJ,XJL Supercharged,Sedan,1
160,1,Malibu,LS Fleet,Sedan,1
161,9,Sprinter Cargo,2500 High Roof 140 WB,Van,1
162,26,MKX,Base,SUV,1
163,10,Prius,Three,Hatchback,1
164,9,Magnum,RT,Wagon,1
165,13,3 Series,330xi,Sedan,1
166,3,C-Class,C350 Sport,Sedan,1
167,5,Escape,Limited,SUV,1
168,6,Elantra,GLS,Sedan,1
169,12,Leaf,SV,Hatchback,1
170,10,Camry,SE,Sedan,1
171,14,Enclave,CXL,SUV,1
172,1,Impala,LT,Sedan,1
173,12,Altima,2.5 S,Sedan,2
174,5,E-Series Van,E-250,E-Series Van,1
175,2,Sorento,LX,SUV,1
176,21,Compass,Limited,SUV,1
177,2,Rio,LX,Sedan,1
178,12,Armada,SV,SUV,1
179,12,Xterra,X,SUV,1
180,3,C-Class,C250,Coupe,1
181,15,Outlander Sport,LE,SUV,1
182,12,Sentra,SV,Sedan,1
183,6,Sonata,GLS,Sedan,1
184,24,GS 350,Base,Sedan,1
185,13,5 Series,535i,Sedan,1
186,27,Mazda2,Sport,Hatchback,2
187,4,Pilot,LX,SUV,1
188,15,Lancer,DE,Sedan,2
189,14,Lucerne,CXS,Sedan,1
190,7,Aspen,Limited,SUV,1
191,5,Escape,XLT,SUV,1
192,13,6 Series,645Ci,Convertible,1
193,28,H2,Base,SUV,1
194,3,CLK-Class,CLK55 AMG,Convertible,1
195,12,Versa,1.6 SV,Sedan,1
196,13,3 Series,328i,Sedan,1
197,13,X5,xDrive35i,SUV,1
198,1,Black Diamond Avalanche,LTZ,Crew Cab,1
199,5,Escape,SEL,SUV,1
200,5,Explorer,XLT,SUV,1
201,13,X6,xDrive35i,SUV,1
202,1,Captiva Sport,LTZ Fleet,SUV,1
203,13,1 Series,135i,Convertible,2
204,1,Camaro,SS,Convertible,2
205,10,Camry,LE,Sedan,1
206,1,Silverado 2500HD,LT,Crew Cab,1
207,11,Golf,2.0L TDI,Hatchback,1
208,5,Taurus,Limited,Sedan,1
209,14,LaCrosse,Leather Group,Sedan,1
210,19,Acadia,Denali,SUV,1
211,5,Flex,Limited,Wagon,1
212,21,Patriot,Sport,SUV,2
213,12,Murano,SV,SUV,1
214,1,Suburban,LT 1500,SUV,1
215,1,Suburban,LTZ 1500,SUV,1
216,12,Leaf,SL,Hatchback,1
217,13,5 Series,545i,Sedan,1
218,13,Z4,3.0i,Convertible,1
219,13,5 Series,535i xDrive,Sedan,1
220,5,F-150,FX4,SuperCrew,1
221,7,200,Limited,Sedan,1
222,3,SLK-Class,SLK350,Convertible,1
223,16,Escalade,Base,SUV,1
224,5,Transit Connect,Cargo Van XLT,Minivan,1
225,5,Fiesta,SE,Hatchback,1
226,5,Fusion,Titanium,Sedan,1
227,29,S60,T5,Sedan,1
228,9,Grand Caravan,SE,Minivan,1
229,4,Accord,EX-L V-6,Sedan,1
230,6,Santa Fe,GLS,SUV,1
231,27,Mazda6,s,Sedan,1
232,10,FJ Cruiser,Base,SUV,2
233,10,Camry,XLE,Sedan,1
234,1,Corvette,Z06,Coupe,2
235,2,Optima,LX Hybrid,Sedan,1
236,13,3 Series,328i,Coupe,1
237,21,Wrangler,Unlimited Sahara,SUV,1
238,19,Yukon XL,SLT2 1500,SUV,1
239,1,Impala,LS,Sedan,1
240,13,5 Series,525i,Sedan,1
241,18,Q7,3.6 quattro,SUV,1
242,13,6 Series,650i,Convertible,1
243,4,Ridgeline,RTL,Crew Cab,1
244,3,C-Class,C300 Sport,Sedan,1
245,13,3 Series,328i,Convertible,1
246,13,4 Series,435i,Convertible,1
247,30,fortwo,electric drive coupe,Hatchback,1
248,4,Civic,LX,Coupe,1
249,5,Edge,Limited,SUV,1
250,5,F-250 Super Duty,XLT,Crew Cab,1
251,3,E-Class,E350 Sport 4MATIC,Sedan,1
252,11,Jetta,SE PZEV,Sedan,1
253,12,Rogue,S,SUV,1
254,11,Passat,SE PZEV,Sedan,1
255,13,1 Series,128i,Coupe,1
256,5,Mustang,Premium,Coupe,2
257,14,Park Avenue,Base,Sedan,1
258,2,Forte,LX,Sedan,1
259,9,Dart,SE,Sedan,1
260,5,Explorer,XLS,SUV,1
261,19,Savana Cargo,2500,Van,1
262,5,Focus ST,Base,Hatchback,2
263,1,Express Cargo,2500,Van,1
264,5,Transit Connect,Wagon XLT Premium,Minivan,1
265,2,Forte,EX,Sedan,1
266,10,Tacoma,V6,Double Cab,1
