mod_id,mod_mrc_id,model,trim,body,mod_trm_id
1790,16,Lancer Evolution,MR Touring,Sedan,2
1791,39,Milan Hybrid,Base,Sedan,1
1792,4,Cube,1.8 S,Wagon,1
1793,15,M-Class,ML550 4MATIC,SUV,1
1794,36,Vibe,Base,Hatchback,1
1795,24,Impreza,2.5i,Sedan,2
1796,26,Panamera,4S,Sedan,1
1797,4,Rogue,SL,SUV,1
1798,36,G6,Fleet,Sedan,1
1799,26,911,Carrera,Coupe,2
1800,24,Forester,2.5X Limited,SUV,1
1801,26,Panamera,Turbo,Sedan,1
1802,41,9-3,2.0T,Sedan,1
1803,24,Legacy,2.5i,Sedan,1
1804,42,Grand Vitara,XSport,SUV,1
1805,26,Cayenne,GTS,SUV,1
1806,44,Ghost,Base,Sedan,1
1807,23,Corolla,Base,Sedan,2
1808,23,Tundra,Tundra Grade,Double Cab,1
1809,23,Matrix,Base,Hatchback,1
1810,6,A5,quattro,Coupe,2
1811,22,Golf,2.5L,Hatchback,2
1812,23,Yaris,Base,Hatchback,2
1813,6,A4,2.0T quattro,Convertible,1
1814,6,A6,3.0T quattro,Sedan,1
1815,22,Passat,Komfort,Wagon,1
1816,22,Jetta,SportWagen SE,Wagon,1
1817,22,Passat,Komfort PZEV,Sedan,1
1818,22,Jetta,SportWagen TDI,Wagon,1
1819,22,Jetta,Limited Edition PZEV,Sedan,2
1820,22,Tiguan,S,SUV,2
1821,22,New Beetle,2.5L Red Rock Edition,Hatchback,1
1822,6,R8,quattro,Coupe,1
1823,22,Jetta,SportWagen TDI,Wagon,2
1824,22,Touareg,VR6 FSI,SUV,1
1825,2,1 Series,135i,Coupe,1
1826,12,Lucerne,Super,Sedan,1
1827,2,3 Series,335i xDrive,Coupe,2
1828,2,X5,xDrive30i,SUV,2
1829,5,Silverado 1500 Hybrid,Base,Crew Cab,1
1830,5,Suburban,1500 LT1,SUV,1
1831,5,HHR,Panel LS,Wagon,1
1832,5,Equinox,Sport,SUV,1
1833,5,Aveo,Aveo5 2LT,Hatchback,2
1834,5,Cobalt,LS,Coupe,1
1835,5,Aveo,Aveo5 LS,Hatchback,1
1836,29,Aspen,Limited,SUV,1
1837,29,300,Limited,Sedan,1
1838,5,Tahoe,LT2,SUV,1
1839,7,F-350 Super Duty,XL,Crew Cab,2
1840,27,Ram Pickup 2500,Laramie,Quad Cab,1
1841,27,Ram Pickup 2500,ST,Quad Cab,1
1842,7,Econoline Cargo,E-350 Super Duty,Van,1
1843,7,Focus,SE,Coupe,2
1844,31,Civic,EX-L,Coupe,1
1845,32,Yukon XL,SLT2 1500,SUV,1
1846,32,Savana Cargo,1500,Van,1
1847,7,Taurus X,SEL,Wagon,1
1848,32,Sierra 1500,Work Truck,Crew Cab,1
1849,31,Accord,EX,Sedan,2
1850,31,Civic,LX-S,Sedan,2
1851,11,Sonata,SE V6,Sedan,1
1852,13,G37,Base,Sedan,1
1853,11,Sonata,GLS V6,Sedan,1
1854,13,G37,x,Sedan,1
1855,1,Optima,LX,Sedan,2
1856,1,Borrego,EX,SUV,1
1857,17,Mazda6,s Grand Touring,Sedan,1
1858,15,GL-Class,GL320 BlueTEC,SUV,1
1859,15,M-Class,ML550,SUV,1
1860,17,6,i Sport,Sedan,2
1861,17,Mazda6,s Touring,Sedan,1
1862,18,Cooper,John Cooper Works,Hatchback,2
1863,39,Sable,Premier,Sedan,1
1864,4,Altima,2.5 S,Coupe,2
1865,4,Frontier,SE,King Cab,1
1866,16,Lancer,ES-Sport,Sedan,1
1867,4,370Z,Base,Coupe,2
1868,16,Eclipse,GT,Hatchback,1
1869,16,Eclipse,GT,Hatchback,2
1870,39,Mariner Hybrid,Base,SUV,1
1871,37,VUE,XE,SUV,1
1872,36,G8,GT,Sedan,1
1873,36,Vibe,Base,Hatchback,2
1874,36,Torrent,Base,SUV,1
1875,37,VUE Hybrid,Base,SUV,1
1876,36,G3,Base,Hatchback,2
1877,41,9-7X,4.2i,SUV,1
1878,26,Cayman,Base,Coupe,2
1879,24,Impreza,2.5i,Hatchback,2
1880,42,SX4,Sport,Sedan,1
1881,23,Matrix,S,Hatchback,2
1882,42,SX4,Crossover,Hatchback,2
1883,22,CC,VR6 4Motion,Sedan,1
1884,22,New Beetle,2.5L,Hatchback,1
1885,6,A4,2.0T quattro,Sedan,2
1886,22,CC,Sport,Sedan,2
1887,22,Jetta,SportWagen SE PZEV,Wagon,1
1888,22,Passat,Komfort,Sedan,1
1889,22,Eos,Lux,Convertible,1
1890,22,Eos,Komfort,Convertible,1
1891,6,A4,2.0T,Convertible,1
1892,22,Routan,SEL,Minivan,1
1893,22,Routan,SEL Premium,Minivan,1
1894,2,3 Series,335xi,Sedan,1
1895,6,A6,3.2 quattro,Sedan,1
1896,2,3 Series,335i,Sedan,2
1897,2,3 Series,335xi,Coupe,1
1898,6,TT,3.2 quattro,Convertible,1
1899,2,5 Series,528xi,Sedan,1
1900,6,Q7,4.2 Premium quattro,SUV,1
1901,2,3 Series,328xi,Sedan,1
1902,6,S5,quattro,Coupe,2
1903,2,5 Series,535xi,Sedan,1
1904,2,5 Series,535xi,Wagon,1
1905,2,M3,Base,Convertible,2
1906,8,DTS,Performance,Sedan,1
1907,12,Lucerne,CX,Sedan,1
1908,7,Expedition,King Ranch,SUV,1
1909,5,Aveo,Aveo5 Special Value,Hatchback,1
1910,5,Silverado 3500HD,LTZ,Crew Cab,1
1911,5,Aveo,Aveo5 Special Value,Hatchback,2
1912,5,Suburban,2500 LT,SUV,1
1913,5,Cobalt,Sport,Coupe,1
1914,5,TrailBlazer,Fleet,SUV,1
1915,5,TrailBlazer,SS,SUV,1
1916,5,Uplander,LT,Minivan,1
1917,27,Caliber,R/T,Wagon,1
1918,27,Nitro,SXT,SUV,1
1919,27,Ram Pickup 2500,SLT,Quad Cab,1
1920,27,Charger,SRT-8,Sedan,1
1921,27,Ram Pickup 1500,ST,Quad Cab,2
1922,27,Ram Pickup 3500,Laramie,Quad Cab,1
1923,27,Magnum,SXT,Wagon,1
1924,27,Ram Pickup 3500,ST,Quad Cab,1
1925,27,Sprinter Cargo,3500 170 WB,Van,1
1926,7,F-350 Super Duty,Lariat,SuperCab,1
1927,7,F-350 Super Duty,XLT,SuperCab,1
1928,7,Explorer Sport Trac,Limited,Crew Cab,1
1929,7,F-250 Super Duty,XLT,Crew Cab,2
1930,7,Expedition EL,XLT,SUV,1
1931,7,F-250 Super Duty,FX4,Crew Cab,1
1932,7,F-250 Super Duty,Lariat,SuperCab,1
1933,7,F-150,60th Anniversary,SuperCrew,1
1934,7,F-250 Super Duty,FX4,SuperCab,1
1935,7,Mustang,Deluxe,Coupe,2
1936,32,Envoy,SLT,SUV,1
1937,32,Sierra 3500HD,SLE1,Crew Cab,1
1938,32,Sierra 1500,SLT,Extended Cab,1
1939,32,Sierra 1500,SLE1,Extended Cab,1
1940,32,Yukon Hybrid,Base,SUV,1
1941,31,Civic,Si,Sedan,1
1942,31,Pilot,Special Edition,SUV,1
1943,40,H3,Alpha,SUV,1
1944,7,Fiesta,SE,Sedan,2
1945,13,G35,x,Sedan,1
1946,13,G37,Sport,Coupe,1
1947,11,Tiburon,GT,Hatchback,2
1948,11,Tiburon,GS,Hatchback,1
1949,21,X-Type,3.0L,Sedan,1
1950,13,G37,Base,Coupe,1
1951,14,Patriot,Limited,SUV,2
1952,14,Wrangler,X,SUV,1
1953,14,Wrangler,Rubicon,SUV,1
1954,1,Sportage,LX,SUV,2
1955,19,LR3,V8 SE,SUV,1
1956,19,LR2,SE,SUV,1
1957,17,CX-7,Grand Touring,SUV,1
1958,17,MX-5 Miata,Touring,Convertible,2
1959,17,Mazda6,i Sport Value Edition,Sedan,2
1960,39,Mariner,V6,SUV,1
1961,15,CL-Class,CL63 AMG,Coupe,1
1962,15,M-Class,ML320 CDI,SUV,1
1963,39,Grand Marquis,GS,Sedan,1
