mar_id,mod_mrc_id,model,trim,body,mod_trm_id
102,1,Amanti,Base,Sedan,1
103,1,Borrego,EX,SUV,1
104,1,Borrego,LX,SUV,1
105,1,Cadenza,Limited,Sedan,1
106,1,Cadenza,Premium,Sedan,1
107,1,Forte,EX,Hatchback,1
108,1,Forte,EX,Hatchback,2
109,1,Forte,EX,Sedan,1
110,1,Forte,EX,Sedan,2
111,1,Forte,Forte5 EX,Hatchback,1
112,1,Forte,Koup EX,Koup,1
113,1,Forte,Koup EX,Koup,2
114,1,Forte,Koup SX,Koup,1
115,1,Forte,Koup SX,Koup,2
116,1,Forte,LX,Sedan,1
117,1,Forte,LX,Sedan,2
118,1,Forte,SX,Hatchback,1
119,1,Forte,SX,Hatchback,2
120,1,Forte,SX,Sedan,1
121,1,Forte,SX,Sedan,2
122,1,K900,Luxury,Sedan,1
123,1,Optima,EX,Sedan,1
124,1,Optima,EX Hybrid,Sedan,1
125,1,Optima,EX Turbo,Sedan,1
126,1,Optima,Hybrid,Sedan,1
127,1,Optima,LX,Sedan,1
128,1,Optima,LX,Sedan,2
129,1,Optima,LX,sedan,1
130,1,Optima,LX Hybrid,Sedan,1
131,1,Optima,SE,Sedan,1
132,1,Optima,SX,Sedan,1
133,1,Optima,SXL,Sedan,1
134,1,Rio,Base,Sedan,1
135,1,Rio,Base,Sedan,2
136,1,Rio,Cinco,Wagon,1
137,1,Rio,Cinco,Wagon,2
138,1,Rio,EX,Hatchback,1
139,1,Rio,EX,Sedan,1
140,1,Rio,LX,Hatchback,1
141,1,Rio,LX,Hatchback,2
142,1,Rio,LX,Sedan,1
143,1,Rio,LX,Sedan,2
144,1,Rio,Rio5 LX,Hatchback,1
145,1,Rio,Rio5 LX,Wagon,1
146,1,Rio,Rio5 LX,Wagon,2
147,1,Rio,Rio5 SX,Wagon,1
148,1,Rio,Rio5 SX,Wagon,2
149,1,Rio,SX,Hatchback,1
150,1,Rio,SX,Hatchback,2
151,1,Rio,SX,Sedan,1
152,1,Rio,SX,Sedan,2
153,1,Rondo,EX,Wagon,1
154,1,Rondo,LX,Wagon,1
155,1,Sedona,Base,Minivan,1
156,1,Sedona,EX,Minivan,1
157,1,Sedona,LX,Minivan,1
158,1,Sephia,Base,Sedan,1
159,1,Sephia,Base,Sedan,2
160,1,Sephia,LS,Sedan,1
161,1,Sephia,LS,Sedan,2
162,1,Sorento,Base,SUV,1
163,1,Sorento,Base,SUV,2
164,1,Sorento,EX,SUV,1
165,1,Sorento,EX,SUV,2
166,1,Sorento,LX,SUV,1
167,1,Sorento,LX,SUV,2
168,1,Sorento,SX,SUV,1
169,1,Sorento,SXL,SUV,1
170,1,Soul,Base,Wagon,1
171,1,Soul,Base,Wagon,2
172,1,Soul,Sport,Wagon,1
173,1,Spectra,Base,Sedan,1
174,1,Spectra,Base,Sedan,2
175,1,Spectra,EX,Sedan,1
176,1,Spectra,EX,Sedan,2
177,1,Spectra,GS,Hatchback,1
178,1,Spectra,GS,Hatchback,2
179,1,Spectra,GSX,Hatchback,1
180,1,Spectra,LS,Sedan,1
181,1,Spectra,LX,Sedan,1
182,1,Spectra,LX,Sedan,2
183,1,Spectra,SX,Sedan,1
184,1,Spectra,SX,Sedan,2
185,1,Spectra,Spectra5,Wagon,1
186,1,Spectra,Spectra5,Wagon,2
187,1,Spectra,Spectra5 SX,Wagon,1
188,1,Spectra,Spectra5 SX,Wagon,2
189,1,Sportage,Base,SUV,1
190,1,Sportage,Base,SUV,2
191,1,Sportage,EX,SUV,1
192,1,Sportage,LX,SUV,1
193,1,Sportage,LX,SUV,2
194,1,Sportage,SX,SUV,1
195,2,1 Series,128i,Convertible,1
196,2,1 Series,128i,Convertible,2
197,2,1 Series,128i,Coupe,1
198,2,1 Series,128i,Coupe,2
199,2,1 Series,128i SULEV,Convertible,1
200,2,1 Series,128i SULEV,Convertible,2
201,2,1 Series,128i SULEV,Coupe,2
202,2,1 Series,135i,Convertible,1
203,2,1 Series,135i,Convertible,2
204,2,1 Series,135i,Coupe,1
205,2,1 Series,135i,Coupe,2
206,2,1 Series,135is,Coupe,1
207,2,2 Series,228i,Coupe,1
208,2,2 Series,228i,Coupe,2
